InsightId,Individual_Id,Event_Timestamp,Current_Sentiment,Lifestyle_Quotient,Health_Profile,Fitness_Milestone,Purchase_Intent,Favourite_Brand,Favourite_Destination,Hobby,Imminent_Event,data_source,Individual_Name,Individual_FirstName,Individual_LastName,Individual_Email,Individual_Phone
INSIGHT_0035,0PKKX000000Tfif4AC,2025-09-02T13:41:48.700636,Angry,Adventurer,Active,Advanced,Medium,Netflix,Maldives,Playing Guitar,Photography workshop this Saturday,synthetic_insights,Archana Tripathi,Archana,Tripathi,archana.tripathi@yahoo.com,+918167575960
INSIGHT_0036,0PKKX000000Tfif4AC,2025-10-15T15:55:48.700636,Angry,Adventurer,Active,Advanced,Tepid,Netflix,Maldives,Playing Guitar,Surprise girlfriend with a birthday gift tomorrow,synthetic_insights,Archana Tripathi,Archana,Tripathi,archana.tripathi@yahoo.com,+918167575960
INSIGHT_0037,0PKKX000000Tfif4AC,2025-10-23T17:49:48.700636,Sad,Adventurer,Active,Advanced,Very High,Netflix,Maldives,Playing Guitar,Meeting personal trainer for first session tomorrow,synthetic_insights,Archana Tripathi,Archana,Tripathi,archana.tripathi@yahoo.com,+918167575960
INSIGHT_0038,0PKKX000000Tfii4AC,2025-08-26T06:42:48.700636,Anxious,Minimalist,Hypotensive,Advanced,Considering,Starbucks,London,Cycling,Expecting Amazon package delivery today,synthetic_insights,Varun Mehta,Varun,Mehta,varun.mehta@yahoo.com,+918608461286
INSIGHT_0039,0PKKX000000Tfii4AC,2025-09-18T11:53:48.700636,Anxious,Minimalist,Active,Advanced,Immediate,Starbucks,London,Cycling,Weekend getaway to wine country next month,synthetic_insights,Varun Mehta,Varun,Mehta,varun.mehta@yahoo.com,+918608461286
INSIGHT_0040,0PKKX000000Tfii4AC,2025-08-14T14:00:48.700636,Anxious,Minimalist,Active,Advanced,Researching,Starbucks,London,Cycling,House closing scheduled for end of month,synthetic_insights,Varun Mehta,Varun,Mehta,varun.mehta@yahoo.com,+918608461286
INSIGHT_0041,0PKKX000000Tfij4AC,2025-08-25T04:49:48.700636,Frustrated,Homebody,Hypertensive,Beginner,Low,Starbucks,Switzerland,Hiking,Meeting personal trainer for first session tomorrow,synthetic_insights,Radha Mishra,Radha,Mishra,radha.mishra@hotmail.com,+916418683472
INSIGHT_0042,0PKKX000000Tfij4AC,2025-09-21T02:39:48.700636,Frustrated,Homebody,Hypertensive,Beginner,Not Interested,Starbucks,Switzerland,Hiking,Picking up new Tesla Model 3 from showroom today,synthetic_insights,Radha Mishra,Radha,Mishra,radha.mishra@hotmail.com,+916418683472
INSIGHT_0043,0PKKX000000Tfij4AC,2025-08-25T14:26:48.700636,Frustrated,Homebody,Hypertensive,Beginner,Low,Starbucks,Switzerland,Hiking,Watch Soccer match final with friends today,synthetic_insights,Radha Mishra,Radha,Mishra,radha.mishra@hotmail.com,+916418683472
INSIGHT_0044,0PKKX000000Tfij4AC,2025-10-04T00:15:48.700636,Frustrated,Homebody,Hypertensive,Beginner,High,Starbucks,Switzerland,Hiking,Zoom call with family overseas in evening,synthetic_insights,Radha Mishra,Radha,Mishra,radha.mishra@hotmail.com,+916418683472
INSIGHT_0045,0PKKX000000Tfij4AC,2025-08-19T22:02:48.700636,Frustrated,Homebody,Hypertensive,Beginner,Immediate,Fitbit,Switzerland,Hiking,Dental appointment scheduled for Thursday,synthetic_insights,Radha Mishra,Radha,Mishra,radha.mishra@hotmail.com,+916418683472
INSIGHT_0046,0PKKX000000Tfij4AC,2025-09-19T18:11:48.700636,Elated,Homebody,Sedentary,Beginner,High,Fitbit,Switzerland,Hiking,Dental appointment scheduled for Thursday,synthetic_insights,Radha Mishra,Radha,Mishra,radha.mishra@hotmail.com,+916418683472
INSIGHT_0047,0PKKX000000Tfia4AC,2025-10-08T13:42:48.700636,Calm,Connoisseur,Sedentary,Advanced,Immediate,Target,Switzerland,Cooking,House closing scheduled for end of month,synthetic_insights,Ashish Desai,Ashish,Desai,ashish.desai@company.com,+917730660694
INSIGHT_0048,0PKKX000000Tfia4AC,2025-09-05T20:22:48.700636,Calm,Connoisseur,Sedentary,Advanced,Considering,Bose,Switzerland,Cooking,Dental appointment scheduled for Thursday,synthetic_insights,Ashish Desai,Ashish,Desai,ashish.desai@company.com,+917730660694
INSIGHT_0049,0PKKX000000Tfia4AC,2025-08-26T00:17:48.700636,Calm,Connoisseur,Sedentary,Advanced,Tepid,Bose,Switzerland,Cooking,Baby shower for sister happening this Sunday,synthetic_insights,Ashish Desai,Ashish,Desai,ashish.desai@company.com,+917730660694
INSIGHT_0050,0PKKX000000Tfia4AC,2025-10-12T05:58:48.700636,Angry,Minimalist,Sedentary,Advanced,Not Interested,Bose,Switzerland,Cooking,Baby shower for sister happening this Sunday,synthetic_insights,Ashish Desai,Ashish,Desai,ashish.desai@company.com,+917730660694
INSIGHT_0051,0PKKX000000Tfic4AC,2025-08-09T21:39:48.700636,Angry,Tech Savvy,Active,Beginner,Very High,Patagonia,Sydney,Vlogging,Cooking class scheduled for Tuesday evening,synthetic_insights,Megha Pandey,Megha,Pandey,megha.pandey@hotmail.com,+919394940744
INSIGHT_0052,0PKKX000000Tfic4AC,2025-09-12T15:40:48.700636,Calm,Tech Savvy,Active,Beginner,Researching,BMW,Sydney,Vlogging,Graduation ceremony next week,synthetic_insights,Megha Pandey,Megha,Pandey,megha.pandey@hotmail.com,+919394940744
INSIGHT_0053,0PKKX000000Tfic4AC,2025-09-28T07:34:48.700636,Calm,Tech Savvy,Hypotensive,Professional,Low,BMW,Sydney,Vlogging,Starting new diet plan from Monday,synthetic_insights,Megha Pandey,Megha,Pandey,megha.pandey@hotmail.com,+919394940744
INSIGHT_0054,0PKKX000000Tfic4AC,2025-09-18T03:40:48.700636,Calm,Tech Savvy,Hypotensive,Elite,Medium,BMW,Miami,Vlogging,Attending friend's wedding ceremony this weekend,synthetic_insights,Megha Pandey,Megha,Pandey,megha.pandey@hotmail.com,+919394940744
INSIGHT_0055,0PKKX000000Tfic4AC,2025-09-21T01:47:48.700636,Calm,Tech Savvy,Hypotensive,Elite,Immediate,BMW,Miami,Vlogging,Meeting personal trainer for first session tomorrow,synthetic_insights,Megha Pandey,Megha,Pandey,megha.pandey@hotmail.com,+919394940744
INSIGHT_0056,0PKKX000000Tfic4AC,2025-10-30T19:26:48.700636,Calm,Tech Savvy,Hypotensive,Elite,Very High,BMW,Miami,Vlogging,Watch Soccer match final with friends today,synthetic_insights,Megha Pandey,Megha,Pandey,megha.pandey@hotmail.com,+919394940744
INSIGHT_0057,0PKKX000000Tfic4AC,2025-10-21T07:52:48.700636,Calm,Tech Savvy,Hypotensive,Elite,Immediate,BMW,Miami,Vlogging,Waiting anxiously for Samsung mobile phone product launch next week,synthetic_insights,Megha Pandey,Megha,Pandey,megha.pandey@hotmail.com,+919394940744
INSIGHT_0058,0PKKX000000Tfic4AC,2025-10-27T00:19:48.700636,Calm,Tech Savvy,Hypertensive,Elite,Considering,BMW,Miami,Vlogging,Graduation ceremony next week,synthetic_insights,Megha Pandey,Megha,Pandey,megha.pandey@hotmail.com,+919394940744
INSIGHT_0059,0PKKX000000Tfid4AC,2025-09-18T09:29:48.700636,Stressed,Careerist,Healthy,Professional,Medium,Tesla,San Francisco,Playing Guitar,House closing scheduled for end of month,synthetic_insights,Naveen Menon,Naveen,Menon,naveen.menon@tech.in,+919422905391
INSIGHT_0060,0PKKX000000Tfid4AC,2025-08-26T08:53:48.700636,Stressed,Homebody,Healthy,Professional,Not Interested,Whole Foods,San Francisco,Playing Guitar,Planning surprise anniversary dinner for spouse this weekend,synthetic_insights,Naveen Menon,Naveen,Menon,naveen.menon@tech.in,+919422905391
INSIGHT_0061,0PKKX000000Tfid4AC,2025-10-05T04:05:48.700636,Stressed,Homebody,Recovering,Professional,Medium,Whole Foods,San Francisco,Playing Guitar,Expecting Amazon package delivery today,synthetic_insights,Naveen Menon,Naveen,Menon,naveen.menon@tech.in,+919422905391
INSIGHT_0062,0PKKX000000Tfid4AC,2025-10-18T16:55:48.700636,Stressed,Homebody,Recovering,Professional,Low,Whole Foods,San Francisco,Playing Guitar,Watch Soccer match final with friends today,synthetic_insights,Naveen Menon,Naveen,Menon,naveen.menon@tech.in,+919422905391
INSIGHT_0063,0PKKX000000Tfie4AC,2025-09-17T13:52:48.700636,Sad,Adventurer,Healthy,Advanced,High,Patagonia,Greece,Woodworking,Gym membership renewal due next week,synthetic_insights,Kiran Chopra,Kiran,Chopra,kiran.chopra@yahoo.com,+918189548539
INSIGHT_0064,0PKKX000000Tfie4AC,2025-08-27T17:49:48.700636,Sad,Adventurer,Healthy,Advanced,Considering,Patagonia,Greece,Woodworking,Concert tickets for favorite band next Friday,synthetic_insights,Kiran Chopra,Kiran,Chopra,kiran.chopra@yahoo.com,+918189548539
INSIGHT_0065,0PKKX000000Tfie4AC,2025-10-10T21:24:48.700636,Frustrated,Adventurer,Healthy,Advanced,Considering,Patagonia,Los Angeles,Woodworking,Gym membership renewal due next week,synthetic_insights,Kiran Chopra,Kiran,Chopra,kiran.chopra@yahoo.com,+918189548539
INSIGHT_0066,0PKKX000000Tfie4AC,2025-08-05T02:38:48.700636,Frustrated,Careerist,Recovering,Advanced,High,Patagonia,Los Angeles,Woodworking,Meeting personal trainer for first session tomorrow,synthetic_insights,Kiran Chopra,Kiran,Chopra,kiran.chopra@yahoo.com,+918189548539
INSIGHT_0067,0PKKX000000Tfie4AC,2025-10-30T02:43:48.700636,Frustrated,Careerist,Recovering,Advanced,Very High,Patagonia,Los Angeles,Woodworking,Weekend getaway to wine country next month,synthetic_insights,Kiran Chopra,Kiran,Chopra,kiran.chopra@yahoo.com,+918189548539
INSIGHT_0068,0PKKX000000Tfig4AC,2025-09-02T20:12:48.700636,Excited,Careerist,Sedentary,Elite,High,Apple,New York,Meditation,Waiting anxiously for Samsung mobile phone product launch next week,synthetic_insights,Ananya Bajaj,Ananya,Bajaj,ananya.bajaj@company.com,+916958587590
INSIGHT_0069,0PKKX000000Tfig4AC,2025-10-23T18:22:48.700636,Excited,Careerist,Sedentary,Rookie,Low,Apple,New York,Meditation,Meeting personal trainer for first session tomorrow,synthetic_insights,Ananya Bajaj,Ananya,Bajaj,ananya.bajaj@company.com,+916958587590
INSIGHT_0070,0PKKX000000Tfig4AC,2025-10-26T18:58:48.700636,Excited,Careerist,Sedentary,Rookie,Low,Apple,New York,Meditation,Watch Soccer match final with friends today,synthetic_insights,Ananya Bajaj,Ananya,Bajaj,ananya.bajaj@company.com,+916958587590
INSIGHT_0071,0PKKX000000Tfig4AC,2025-10-25T20:11:48.700636,Excited,Careerist,Healthy,Rookie,High,North Face,New York,Meditation,Expecting Amazon package delivery today,synthetic_insights,Ananya Bajaj,Ananya,Bajaj,ananya.bajaj@company.com,+916958587590
INSIGHT_0072,0PKKX000000Tfig4AC,2025-10-02T06:31:48.700636,Excited,Careerist,Sick,Rookie,High,North Face,New York,Meditation,Dental appointment scheduled for Thursday,synthetic_insights,Ananya Bajaj,Ananya,Bajaj,ananya.bajaj@company.com,+916958587590
INSIGHT_0073,0PKKX000000TfiK4AS,2025-10-26T10:30:48.700636,Frustrated,Luxury Seeker,Hypotensive,Rookie,Not Interested,Bose,Denver,Dancing,Baby shower for sister happening this Sunday,synthetic_insights,Manoj Roy,Manoj,Roy,manoj.roy@outlook.com,+918499899297
INSIGHT_0074,0PKKX000000TfiK4AS,2025-10-09T02:55:48.700636,Frustrated,Luxury Seeker,Hypotensive,Rookie,Not Interested,Bose,Denver,Dancing,Gym membership renewal due next week,synthetic_insights,Manoj Roy,Manoj,Roy,manoj.roy@outlook.com,+918499899297
INSIGHT_0075,0PKKX000000TfiK4AS,2025-09-03T16:41:48.700636,Disgusted,Homebody,Hypotensive,Rookie,Researching,Bose,Denver,Dancing,Starting new diet plan from Monday,synthetic_insights,Manoj Roy,Manoj,Roy,manoj.roy@outlook.com,+918499899297
INSIGHT_0076,0PKKX000000TfiK4AS,2025-09-30T18:43:48.700636,Disgusted,Minimalist,Hypotensive,Professional,Very High,Bose,Denver,Dancing,Starting online MBA program next semester,synthetic_insights,Manoj Roy,Manoj,Roy,manoj.roy@outlook.com,+918499899297
INSIGHT_0077,0PKKX000000TfiK4AS,2025-09-07T00:40:48.700636,Disgusted,Luxury Seeker,Hypertensive,Professional,Medium,Bose,Paris,Dancing,Book club meeting at local cafe tomorrow,synthetic_insights,Manoj Roy,Manoj,Roy,manoj.roy@outlook.com,+918499899297
INSIGHT_0078,0PKKX000000TfiK4AS,2025-08-03T20:38:48.700636,Disgusted,Luxury Seeker,Hypertensive,Professional,Immediate,Bose,Paris,Dancing,Gym membership renewal due next week,synthetic_insights,Manoj Roy,Manoj,Roy,manoj.roy@outlook.com,+918499899297
INSIGHT_0079,0PKKX000000TfiK4AS,2025-10-15T18:06:48.700636,Anxious,Luxury Seeker,Hypertensive,Professional,Low,Bose,Miami,Dancing,Watch Soccer match final with friends today,synthetic_insights,Manoj Roy,Manoj,Roy,manoj.roy@outlook.com,+918499899297
INSIGHT_0080,0PKKX000000TfiK4AS,2025-09-09T08:09:48.700636,Anxious,Luxury Seeker,Hypertensive,Professional,Immediate,Bose,Miami,Dancing,Photography workshop this Saturday,synthetic_insights,Manoj Roy,Manoj,Roy,manoj.roy@outlook.com,+918499899297
INSIGHT_0081,0PKKX000000TfiU4AS,2025-10-21T10:23:48.700636,Anxious,Minimalist,Healthy,Intermediate,High,Whole Foods,Amsterdam,Gaming,Virtual yoga class starting in 2 hours,synthetic_insights,Sarika Ahluwalia,Sarika,Ahluwalia,sarika.ahluwalia@yahoo.com,+916690366042
INSIGHT_0082,0PKKX000000TfiU4AS,2025-10-03T19:08:48.700636,Anxious,Minimalist,Active,Intermediate,Immediate,Whole Foods,Amsterdam,Gaming,Attending product demo at Apple Store tomorrow afternoon,synthetic_insights,Sarika Ahluwalia,Sarika,Ahluwalia,sarika.ahluwalia@yahoo.com,+916690366042
INSIGHT_0083,0PKKX000000TfiU4AS,2025-08-06T05:07:48.700636,Anxious,Minimalist,Active,Intermediate,Not Interested,Whole Foods,Amsterdam,Gaming,Moving to new apartment this weekend,synthetic_insights,Sarika Ahluwalia,Sarika,Ahluwalia,sarika.ahluwalia@yahoo.com,+916690366042
INSIGHT_0084,0PKKX000000TfiU4AS,2025-08-29T16:28:48.700636,Anxious,Minimalist,Active,Intermediate,Low,Whole Foods,Amsterdam,Gaming,House closing scheduled for end of month,synthetic_insights,Sarika Ahluwalia,Sarika,Ahluwalia,sarika.ahluwalia@yahoo.com,+916690366042
INSIGHT_0085,0PKKX000000TfiU4AS,2025-09-26T23:52:48.700636,Anxious,Minimalist,Active,Intermediate,Researching,Whole Foods,Amsterdam,Gaming,Waiting anxiously for Samsung mobile phone product launch next week,synthetic_insights,Sarika Ahluwalia,Sarika,Ahluwalia,sarika.ahluwalia@yahoo.com,+916690366042
INSIGHT_0086,0PKKX000000TfiV4AS,2025-10-13T21:57:48.700636,Calm,Tech Savvy,Athletic,Elite,Very High,Mercedes,Switzerland,Singing,Concert tickets for favorite band next Friday,synthetic_insights,Ravi Mankar,Ravi,Mankar,ravi.mankar@company.com,+916754873314
INSIGHT_0087,0PKKX000000TfiV4AS,2025-10-14T08:27:48.700636,Elated,Tech Savvy,Recovering,Elite,Very High,Mercedes,Paris,Singing,Meeting personal trainer for first session tomorrow,synthetic_insights,Ravi Mankar,Ravi,Mankar,ravi.mankar@company.com,+916754873314
INSIGHT_0088,0PKKX000000TfiV4AS,2025-09-24T15:32:48.700636,Elated,Tech Savvy,Sedentary,Elite,High,Mercedes,Sydney,Singing,Book club meeting at local cafe tomorrow,synthetic_insights,Ravi Mankar,Ravi,Mankar,ravi.mankar@company.com,+916754873314
INSIGHT_0089,0PKKX000000TfiV4AS,2025-09-14T16:44:48.700636,Anxious,Careerist,Sedentary,Elite,Researching,Mercedes,Sydney,Singing,Starting new diet plan from Monday,synthetic_insights,Ravi Mankar,Ravi,Mankar,ravi.mankar@company.com,+916754873314
INSIGHT_0090,0PKKX000000TfiV4AS,2025-09-15T09:53:48.700636,Stressed,Careerist,Sedentary,Advanced,Medium,Mercedes,Sydney,Singing,Starting online MBA program next semester,synthetic_insights,Ravi Mankar,Ravi,Mankar,ravi.mankar@company.com,+916754873314
INSIGHT_0091,0PKKX000000TfiV4AS,2025-09-05T05:14:48.700636,Sad,Homebody,Sedentary,Advanced,Low,Mercedes,Sydney,Singing,Baby shower for sister happening this Sunday,synthetic_insights,Ravi Mankar,Ravi,Mankar,ravi.mankar@company.com,+916754873314
INSIGHT_0092,0PKKX000000TfiV4AS,2025-08-17T09:28:48.700636,Sad,Homebody,Sedentary,Advanced,Medium,Mercedes,Hawaii,Singing,Graduation ceremony next week,synthetic_insights,Ravi Mankar,Ravi,Mankar,ravi.mankar@company.com,+916754873314
INSIGHT_0093,0PKKX000000TfiW4AS,2025-10-16T10:12:48.700636,Anxious,Tech Savvy,Sedentary,Beginner,Tepid,Bose,Thailand,Hiking,Planning surprise anniversary dinner for spouse this weekend,synthetic_insights,Divya Tandon,Divya,Tandon,divya.tandon@yahoo.com,+917250865146
INSIGHT_0094,0PKKX000000TfiW4AS,2025-10-05T03:07:48.700636,Anxious,Tech Savvy,Sedentary,Beginner,Immediate,Bose,Thailand,Hiking,Waiting anxiously for Samsung mobile phone product launch next week,synthetic_insights,Divya Tandon,Divya,Tandon,divya.tandon@yahoo.com,+917250865146
