VehicleId,Individual_Id,Individual_Name,Individual_Email,VIN,Make,Model,ModelYear,Trim,RegistrationNumber,RegistrationState,Color,FuelType,BodyType,Transmission,PurchaseDate,Mileage,Condition,MarketValue,IsPrimaryVehicle,TelematicsDeviceId,IsTelematicsActive,InsuranceExpiryDate,ServiceDueDate,ServiceDueMileage,data_source
VEH_011_1,0PKKX000000TfiY4AS,Rohan Chopra,rohan.chopra@company.com,NGA5298594FL0M8WG,Tata,Altroz,2019,Mid,MP09KH7455,MP,Red,Petrol,Sedan,DCT,2017-05-18,79983,New,483468,true,,false,2022-05-31,2026-01-08,80000,synthetic
VEH_011_2,0PKKX000000TfiY4AS,Rohan Chopra,rohan.chopra@company.com,RHW73334M6E3H9MAG,Tata,Safari,2017,Luxury,WB14AN8643,WB,Red,Diesel,MPV,CVT,2024-09-11,10697,New,1328328,false,TELE_472720,true,2027-08-27,2026-01-31,20000,synthetic
VEH_012_1,0PKKX000000Tfid4AC,Naveen Menon,naveen.menon@tech.in,SUG44238B6FH9S13F,Toyota,Innova Crysta,2018,Base,UP14QE5550,UP,Grey,Petrol,MPV,CVT,2024-03-24,23746,Certified Pre-Owned,1491483,true,,false,2028-03-30,2026-04-30,30000,synthetic
VEH_013_1,0PKKX000000Tfih4AC,Komal Chawla,komal.chawla@yahoo.com,XJF71002J2LY73NCL,Hyundai,i20,2020,Mid,UP43AQ2466,UP,Red,Petrol,MPV,DCT,2022-04-03,50474,New,1365695,true,TELE_519826,true,2028-04-28,2026-01-01,60000,synthetic
VEH_014_1,0PKKX000000Tfie4AC,Kiran Chopra,kiran.chopra@yahoo.com,AFF23371HCVHHR1TM,Toyota,Glanza,2015,Luxury,TN24ZB2520,TN,Black,Petrol,MPV,DCT,2024-10-31,10678,Certified Pre-Owned,1866040,true,,false,2025-11-27,2026-04-02,20000,synthetic
VEH_015_1,0PKKX000000Tfib4AC,Swati Patel,swati.patel@outlook.com,TJE11306PY07D2JC5,Toyota,Fortuner,2018,Base,TN47PG8026,TN,Black,Electric,MPV,Automatic,2023-02-08,38164,Used,1424106,true,,false,2027-02-10,2026-02-18,40000,synthetic
VEH_016_1,0PKKX000000Tfig4AC,Ananya Bajaj,ananya.bajaj@company.com,CYT84689DL2L39674,Renault,Kwid,2015,Sport,KA44LW2157,KA,Beige,Petrol,SUV,AMT,2018-03-28,97406,Certified Pre-Owned,135843,true,,false,2019-04-29,2025-11-28,100000,synthetic
VEH_017_1,0PKKX000000TfiX4AS,Pankaj Tandon,pankaj.tandon@company.com,JDH1145682SHGSKTH,Tata,Safari,2024,Mid,HR47ZK4578,HR,Brown,Electric,Compact SUV,Manual,2017-03-06,127606,New,586547,true,,false,2027-04-06,2026-02-20,130000,synthetic
VEH_018_1,0PKKX000000TfiK4AS,Manoj Roy,manoj.roy@outlook.com,ZLD78818NHT4MXR46,Renault,Duster,2020,Top,HR19US6583,HR,Silver,CNG,Hatchback,CVT,2023-04-03,36472,Used,1228453,true,,false,2029-04-01,2026-04-20,40000,synthetic
VEH_019_1,0PKKX000000TfiW4AS,Divya Tandon,divya.tandon@yahoo.com,WVK7923693PPVATWN,Honda,WR-V,2017,Top,WB03DK1038,WB,Beige,Petrol,Compact SUV,Automatic,2022-01-05,33767,New,820402,true,,false,2025-02-08,2025-11-27,40000,synthetic
VEH_022_1,0PKKX000000Tfj64AC,Jatin Chatterjee,jatin.chatterjee@company.com,TWE17179SYD6GS1D8,Toyota,Innova Crysta,2015,Luxury,KA23DF1389,KA,Blue,Electric,Compact SUV,DCT,2015-11-23,124239,New,357782,true,,false,2016-12-15,2026-02-01,130000,synthetic
VEH_022_2,0PKKX000000Tfj64AC,Jatin Chatterjee,jatin.chatterjee@company.com,DWN959330CJGJA7MF,Tata,Altroz,2017,Base,KA46CF9801,KA,Blue,Hybrid,Hatchback,CVT,2025-01-25,6593,New,800410,false,,false,2028-01-31,2025-11-19,10000,synthetic
VEH_024_1,0PKKX000000Tfio4AC,Rajesh Pandey,rajesh.pandey@business.in,BWL82739DHCNGHFKJ,Maruti Suzuki,Baleno,2016,Mid,DL22SA4693,DL,Silver,Diesel,Hatchback,Manual,2022-10-17,39362,Used,770353,true,TELE_730051,true,2024-10-04,2025-11-17,40000,synthetic
VEH_024_2,0PKKX000000Tfio4AC,Rajesh Pandey,rajesh.pandey@business.in,SGV93774AXWJ6TLRR,MG,ZS EV,2022,Top,GJ38TH8883,GJ,White,Electric,Compact SUV,DCT,2018-10-24,67097,Certified Pre-Owned,718887,false,,false,2026-10-13,2026-03-27,70000,synthetic
VEH_026_1,0PKKX000000Tfiy4AC,Tanvi Goswami,tanvi.goswami@tech.in,GME84233Y52ZVG5Z1,Hyundai,Alcazar,2022,Mid,WB32CB9182,WB,Beige,Electric,SUV,AMT,2019-03-24,58511,New,569902,true,,false,2027-03-15,2026-01-31,60000,synthetic
VEH_027_1,0PKKX000000TfjL4AS,Priya Ahmed,priya.ahmed@business.in,LXF92233PX45RK5XZ,Kia,Sonet,2018,Mid,KA47GF9761,KA,Black,CNG,Hatchback,AMT,2017-07-10,88226,New,602405,true,TELE_118525,true,2021-07-04,2026-03-18,90000,synthetic
VEH_028_1,0PKKX000000Tfiq4AC,Manoj Sharma,manoj.sharma@gmail.com,MKP85099HV6WBM0EU,Maruti Suzuki,Baleno,2020,Top,MP01QF7704,MP,Blue,Electric,Compact SUV,AMT,2023-06-07,19724,New,750283,true,,false,2029-05-29,2026-02-21,20000,synthetic
VEH_029_1,0PKKX000000Tfiv4AC,Pooja Pillai,pooja.pillai@company.com,NDP38750H5JWF7P7U,Renault,Kiger,2017,Base,TN11FG2878,TN,Brown,Electric,MPV,CVT,2018-02-10,103735,Certified Pre-Owned,346083,true,TELE_152207,true,2021-01-31,2026-04-23,110000,synthetic
VEH_029_2,0PKKX000000Tfiv4AC,Pooja Pillai,pooja.pillai@company.com,TWB51195XZ76VNCDB,Renault,Kwid,2023,Top,UP01BN9412,UP,Blue,Petrol,MPV,Manual,2021-04-12,40004,New,867654,false,TELE_149256,true,2030-05-01,2026-04-11,50000,synthetic
VEH_030_1,0PKKX000000Tfj74AC,Varsha Naik,varsha.naik@enterprise.com,GAS582364E11L8SW3,MG,ZS EV,2017,Sport,KA46YB4405,KA,Red,Petrol,MPV,Manual,2018-04-24,103241,Used,421116,true,,false,2021-05-09,2025-12-22,110000,synthetic
VEH_030_2,0PKKX000000Tfj74AC,Varsha Naik,varsha.naik@enterprise.com,GWD53410RVP6MR4ZY,Maruti Suzuki,Brezza,2020,Luxury,WB40YS6363,WB,Silver,Petrol,Compact SUV,CVT,2018-01-04,80016,Used,323365,false,TELE_457326,true,2024-01-11,2026-01-01,90000,synthetic
VEH_031_1,0PKKX000000TfjB4AS,Manoj Mehta,manoj.mehta@outlook.com,GGM74005YE6SFXP96,Kia,Carens,2018,Top,TN42HB4645,TN,White,Hybrid,MPV,CVT,2024-03-23,14054,Used,1854304,true,TELE_566766,true,2028-03-15,2026-04-03,20000,synthetic
VEH_032_1,0PKKX000000Tfim4AC,Ajit Bhatia,ajit.bhatia@tech.in,LXK72207FDZVH603Y,Hyundai,Alcazar,2021,Mid,TN39ME5656,TN,White,CNG,Sedan,Automatic,2018-01-16,70791,Certified Pre-Owned,560058,true,TELE_468579,true,2024-12-31,2026-02-18,80000,synthetic
VEH_032_2,0PKKX000000Tfim4AC,Ajit Bhatia,ajit.bhatia@tech.in,CXT24523UPGEM8YU7,Maruti Suzuki,Alto,2023,Sport,DL09XM8929,DL,Black,Hybrid,MPV,Manual,2025-04-29,6308,New,1101003,false,TELE_936648,true,2034-05-17,2026-03-02,10000,synthetic
VEH_032_3,0PKKX000000Tfim4AC,Ajit Bhatia,ajit.bhatia@tech.in,MHV44079HU6R0F053,Toyota,Innova Crysta,2018,Sport,GJ14PG3622,GJ,Grey,Electric,Sedan,CVT,2023-11-26,19415,New,1292436,false,,false,2027-12-17,2026-03-20,20000,synthetic
VEH_034_1,0PKKX000000Tfir4AC,Ajit Dutta,ajit.dutta@enterprise.com,VXY54269PKGFA6YBS,Kia,Seltos,2017,Sport,MP24ES8602,MP,Blue,Diesel,Hatchback,CVT,2019-05-01,92657,Certified Pre-Owned,321248,true,,false,2022-05-26,2026-01-24,100000,synthetic
VEH_034_2,0PKKX000000Tfir4AC,Ajit Dutta,ajit.dutta@enterprise.com,FVL68064XJJ9E6UWD,Toyota,Urban Cruiser,2015,Top,MH17YR6700,MH,Beige,Hybrid,MPV,AMT,2021-01-10,66232,Used,1060872,false,,false,2022-01-14,2026-01-31,70000,synthetic
VEH_035_1,0PKKX000000TfjN4AS,Jatin Singh,jatin.singh@company.com,YCB24802A9UG8M9K8,MG,Hector,2023,Mid,WB05NE8379,WB,Black,Petrol,SUV,DCT,2019-03-04,69165,New,327930,true,,false,2028-02-26,2025-12-02,70000,synthetic
VEH_035_2,0PKKX000000TfjN4AS,Jatin Singh,jatin.singh@company.com,YBY85606M8RY40KA5,Tata,Altroz,2023,Base,RJ33GA4171,RJ,Black,CNG,Sedan,Automatic,2025-08-04,2212,New,2012587,false,TELE_776630,true,2034-07-28,2026-01-24,10000,synthetic
VEH_037_1,0PKKX000000TfjF4AS,Dev Inamdar,dev.inamdar@tech.in,BJD50101KJ1FBHJ32,Maruti Suzuki,Brezza,2019,Base,TN01BM3580,TN,Red,Petrol,Sedan,Automatic,2020-10-13,63867,New,632547,true,,false,2025-10-11,2026-01-10,70000,synthetic
VEH_038_1,0PKKX000000Tfiz4AC,Kunal Ahmed,kunal.ahmed@hotmail.com,ZKT2554013MUWLU91,Maruti Suzuki,Brezza,2015,Base,DL45RT1553,DL,Blue,Hybrid,MPV,DCT,2018-10-25,90856,Used,289295,true,TELE_322980,true,2019-11-04,2026-04-13,100000,synthetic
VEH_038_2,0PKKX000000Tfiz4AC,Kunal Ahmed,kunal.ahmed@hotmail.com,UEP41745NTD4CTHPB,Tata,Tiago,2015,Sport,MH15UH3370,MH,Silver,Petrol,MPV,Automatic,2016-07-18,133767,New,518829,false,TELE_439580,true,2017-08-08,2026-02-26,140000,synthetic
VEH_039_1,0PKKX000000Tfip4AC,Akash Patel,akash.patel@tech.in,TVN34472KZ9ZH1JL0,Hyundai,i20,2016,Mid,HR15LJ9988,HR,Red,Petrol,SUV,Automatic,2025-04-23,6819,Certified Pre-Owned,966157,true,TELE_703037,true,2027-04-19,2025-11-15,10000,synthetic
VEH_040_1,0PKKX000000Tfin4AC,Ankit Khanna,ankit.khanna@tech.in,AUC21584WCWLPB2JP,MG,ZS EV,2016,Top,GJ03DR1553,GJ,Silver,Hybrid,MPV,DCT,2025-06-22,3383,Used,2285283,true,,false,2027-07-21,2026-02-20,10000,synthetic
VEH_041_1,0PKKX000000TfiQ4AS,Ankita Wadhwa,ankita.wadhwa@gmail.com,AKA693031JXRDP6YL,Mahindra,Bolero,2016,Sport,MP40PL3784,MP,Grey,CNG,Sedan,Automatic,2022-07-05,39832,Certified Pre-Owned,676000,true,,false,2024-07-20,2026-04-09,40000,synthetic
VEH_042_1,0PKKX000000TfiO4AS,Preeti Saxena,preeti.saxena@yahoo.com,YLT30368ETC3DH4FE,Renault,Triber,2016,Top,HR47HG6651,HR,Red,Petrol,SUV,AMT,2022-03-18,31645,Certified Pre-Owned,1380094,true,,false,2024-03-06,2026-03-19,40000,synthetic
VEH_043_1,0PKKX000000Tfj44AC,Karan Tandon,karan.tandon@company.com,JRG477338CAV171PV,Hyundai,Venue,2018,Base,UP41XA3689,UP,Beige,Hybrid,Compact SUV,DCT,2018-08-28,90053,New,725696,true,TELE_815946,true,2022-09-21,2025-12-08,100000,synthetic
VEH_044_1,0PKKX000000TfiN4AS,Tanvi Kapoor,tanvi.kapoor@business.in,YWJ3637881D6LFMSS,Toyota,Innova Crysta,2015,Sport,TN29GY6074,TN,Grey,Electric,MPV,Automatic,2022-12-09,40038,Certified Pre-Owned,879764,true,,false,2023-12-15,2025-12-31,50000,synthetic
VEH_045_1,0PKKX000000Tfil4AC,Ritika Verma,ritika.verma@outlook.com,JUK64504N1JBEUSGT,Toyota,Innova Crysta,2021,Mid,UP04YV1013,UP,Black,CNG,MPV,AMT,2023-10-10,17576,New,1104388,true,TELE_773230,true,2030-09-25,2026-03-09,20000,synthetic
VEH_046_1,0PKKX000000Tfiu4AC,Ajit Roy,ajit.roy@business.in,YZH8279308Z0G4UYE,Mahindra,XUV300,2023,Mid,KA15LR6340,KA,Brown,Petrol,Sedan,DCT,2018-11-06,58276,New,298581,true,TELE_804278,true,2027-10-25,2026-04-16,60000,synthetic
VEH_047_1,0PKKX000000TfiP4AS,Payal Thakur,payal.thakur@yahoo.com,YDX96456UE5W9JYWF,Toyota,Glanza,2018,Mid,HR33ZH3143,HR,Beige,Hybrid,Compact SUV,Automatic,2019-08-13,77055,Used,409719,true,TELE_858921,true,2023-08-13,2025-11-23,80000,synthetic
VEH_048_1,0PKKX000000TfjP4AS,Manoj Goswami,manoj.goswami@company.com,VGR40053N0MAS2FJG,Tata,Safari,2022,Sport,GJ37EH3884,GJ,Beige,Diesel,SUV,AMT,2021-05-16,59394,Certified Pre-Owned,921345,true,TELE_429092,true,2029-05-20,2026-02-23,60000,synthetic
VEH_049_1,0PKKX000000TfjD4AS,Priya Hegde,priya.hegde@tech.in,ADT18075GFD2P1MDC,Kia,Sonet,2018,Luxury,UP22MH7607,UP,Red,Hybrid,MPV,CVT,2021-07-04,63257,Used,720793,true,TELE_288462,true,2025-07-25,2026-04-22,70000,synthetic
VEH_050_1,0PKKX000000TfjQ4AS,Akash Yadav,akash.yadav@business.in,JHM48768ZMHYS21EF,MG,Gloster,2018,Sport,DL12VP2177,DL,Beige,Electric,MPV,Automatic,2017-11-09,117757,Certified Pre-Owned,526257,true,TELE_998184,true,2021-11-16,2026-03-07,120000,synthetic
VEH_050_2,0PKKX000000TfjQ4AS,Akash Yadav,akash.yadav@business.in,WXJ44678UPZYSSMK1,Toyota,Innova Crysta,2023,Sport,GJ48PE2434,GJ,Beige,Hybrid,Sedan,CVT,2021-04-28,46157,New,1047200,false,TELE_872347,true,2030-05-06,2025-12-10,50000,synthetic
VEH_050_3,0PKKX000000TfjQ4AS,Akash Yadav,akash.yadav@business.in,BWE32704XELH8VE4L,Tata,Nexon,2015,Base,HR17LF7243,HR,Grey,Hybrid,SUV,DCT,2017-07-03,71581,New,470673,false,,false,2018-08-07,2026-03-19,80000,synthetic
VEH_052_1,0PKKX000000TfjG4AS,Aarti Krishnan,aarti.krishnan@business.in,MBA228733VYB6NYKB,Mahindra,Bolero,2020,Mid,KA36KA3947,KA,Red,Petrol,MPV,DCT,2018-07-11,62616,New,168244,true,,false,2024-07-13,2026-01-12,70000,synthetic
VEH_053_1,0PKKX000000TfjJ4AS,Nikita Iyer,nikita.iyer@business.in,LGA9533217GLVVJ5L,Toyota,Fortuner,2017,Base,TN32UZ4497,TN,Black,Hybrid,Compact SUV,DCT,2024-07-06,18262,New,1515682,true,TELE_607429,true,2027-08-02,2026-02-05,20000,synthetic
VEH_054_1,0PKKX000000Tfit4AC,Pallavi Chauhan,pallavi.chauhan@gmail.com,XWS84298W4SUKNU5K,Mahindra,XUV700,2018,Base,HR27ZB5396,HR,White,Hybrid,Compact SUV,Automatic,2021-06-17,49358,New,233979,true,TELE_301411,true,2025-06-11,2026-02-18,50000,synthetic
VEH_054_2,0PKKX000000Tfit4AC,Pallavi Chauhan,pallavi.chauhan@gmail.com,WJT80471SUN6T0Y8X,MG,Hector,2020,Base,HR47YP8803,HR,Silver,Diesel,MPV,DCT,2020-07-06,56349,New,463832,false,,false,2026-07-12,2025-11-14,60000,synthetic
VEH_055_1,0PKKX000000TfiM4AS,Rahul Kulkarni,rahul.kulkarni@gmail.com,SDT33650KYXYJ76ZW,Hyundai,i20,2023,Luxury,GJ22QV4250,GJ,Red,Electric,SUV,Automatic,2016-08-20,116596,New,384598,true,TELE_698214,true,2025-08-04,2026-04-10,120000,synthetic
VEH_056_1,0PKKX000000Tfj14AC,Manish Hegde,manish.hegde@business.in,UJC926321Z9XU6RVK,Volkswagen,Taigun,2015,Base,RJ30SY9252,RJ,Beige,Petrol,Compact SUV,Manual,2018-10-21,84554,Certified Pre-Owned,571999,true,,false,2019-10-23,2025-12-10,90000,synthetic
VEH_058_1,0PKKX000000Tfj84AC,Radha Dhawan,radha.dhawan@company.com,MXM45787EEW0N8BPV,Volkswagen,Virtus,2019,Top,GJ34LY5384,GJ,White,Petrol,Hatchback,Automatic,2024-02-24,17879,Certified Pre-Owned,382728,true,TELE_207459,true,2029-02-17,2026-02-01,20000,synthetic
VEH_059_1,0PKKX000000Tfj04AC,Amit Rao,amit.rao@gmail.com,VSX14464N4BSAPFVU,Maruti Suzuki,Alto,2017,Base,MH26ER8049,MH,Silver,Petrol,Hatchback,DCT,2016-02-27,104665,Certified Pre-Owned,475446,true,,false,2019-02-19,2026-02-26,110000,synthetic
VEH_060_1,0PKKX000000TfjK4AS,Rekha Shah,rekha.shah@hotmail.com,GYP6754703A074BM7,Toyota,Urban Cruiser,2024,Mid,RJ44NL3695,RJ,Beige,CNG,Hatchback,CVT,2020-12-09,68830,New,738645,true,,false,2031-01-01,2025-11-19,70000,synthetic
VEH_062_1,0PKKX000000TfjM4AS,Kunal Mukherjee,kunal.mukherjee@enterprise.com,XVZ90326ZFMNTATP4,Hyundai,Grand i10 Nios,2018,Sport,UP27NT3274,UP,Grey,Diesel,MPV,Automatic,2020-08-25,67099,New,622645,true,,false,2024-08-26,2025-11-29,70000,synthetic
VEH_063_1,0PKKX000000Tfj34AC,Ankit Uppal,ankit.uppal@outlook.com,UBN716375F1NL9J6G,Honda,Jazz,2018,Top,MP47SN8718,MP,Brown,Petrol,Compact SUV,AMT,2016-07-13,100031,Certified Pre-Owned,91277,true,,false,2020-07-10,2026-02-15,110000,synthetic
VEH_063_2,0PKKX000000Tfj34AC,Ankit Uppal,ankit.uppal@outlook.com,HCP61643N5MBVWBPZ,MG,Gloster,2015,Luxury,TN36AS7935,TN,Blue,Electric,Sedan,Manual,2020-10-15,57945,Certified Pre-Owned,925390,false,TELE_844888,true,2021-10-05,2026-01-16,60000,synthetic
VEH_063_3,0PKKX000000Tfj34AC,Ankit Uppal,ankit.uppal@outlook.com,EUN65510X370TSGSG,Renault,Kiger,2021,Base,MP10LQ8229,MP,Red,Petrol,Sedan,Automatic,2016-07-31,118651,Used,388740,false,,false,2023-07-19,2026-01-06,120000,synthetic
VEH_064_1,0PKKX000000TfjR4AS,Tarun Nair,tarun.nair@enterprise.com,YZC70354UVGLY57JX,Toyota,Urban Cruiser,2019,Luxury,GJ09RZ7579,GJ,Black,Petrol,Sedan,Manual,2019-03-07,55280,Used,801609,true,TELE_763222,true,2024-03-05,2025-11-15,60000,synthetic
VEH_064_2,0PKKX000000TfjR4AS,Tarun Nair,tarun.nair@enterprise.com,UTS714457XEYDUWUB,Volkswagen,Polo,2015,Base,MP20TM8767,MP,Brown,Diesel,Compact SUV,AMT,2018-12-13,82588,New,709646,false,,false,2019-12-19,2026-04-28,90000,synthetic
VEH_065_1,0PKKX000000TfjS4AS,Prakash Patil,prakash.patil@business.in,CLA75314YWNFY4S0X,Volkswagen,Virtus,2018,Mid,HR35PN6742,HR,Black,Diesel,SUV,CVT,2022-08-03,46471,New,1104294,true,,false,2026-07-26,2026-03-27,50000,synthetic
VEH_066_1,0PKKX000000Tfiw4AC,Jatin Hegde,jatin.hegde@outlook.com,LLM11763TVGM94CX5,Mahindra,XUV300,2020,Top,WB34CD1212,WB,Silver,Petrol,Hatchback,Automatic,2016-08-15,113211,Used,271074,true,TELE_193946,true,2022-08-02,2026-01-26,120000,synthetic
VEH_067_1,0PKKX000000Tfj94AC,Vivek Krishnan,vivek.krishnan@gmail.com,MVB732504PFPEJ93B,Hyundai,i20,2017,Mid,DL16QE1682,DL,Black,Petrol,MPV,AMT,2015-12-09,100477,New,412046,true,,false,2018-12-27,2026-02-19,110000,synthetic
VEH_068_1,0PKKX000000TfjH4AS,Seema Varma,seema.varma@enterprise.com,DUN11806ANH8V69TL,Tata,Punch,2021,Sport,UP10GL8872,UP,Beige,CNG,Sedan,Manual,2021-04-24,44771,Certified Pre-Owned,326735,true,TELE_903272,true,2028-04-18,2025-12-26,50000,synthetic
VEH_069_1,0PKKX000000Tfje4AC,Rajesh Bhatt,rajesh.bhatt@yahoo.com,PJB565912N3U2WGLJ,Hyundai,Grand i10 Nios,2016,Base,RJ03ME6568,RJ,Grey,Diesel,Sedan,AMT,2019-05-15,78547,Used,809482,true,,false,2021-05-27,2026-02-09,80000,synthetic
VEH_069_2,0PKKX000000Tfje4AC,Rajesh Bhatt,rajesh.bhatt@yahoo.com,HSF986795DWT7NX8K,Kia,Carens,2018,Luxury,TN25BG2634,TN,White,Electric,MPV,Automatic,2016-02-11,94193,Certified Pre-Owned,361139,false,TELE_687356,true,2020-02-06,2026-04-12,100000,synthetic
VEH_070_1,0PKKX000000Tfis4AC,Amit Agnihotri,amit.agnihotri@gmail.com,HKK27808VZDC6MSDX,Tata,Nexon,2017,Base,WB09BT5246,WB,Brown,Electric,SUV,CVT,2022-08-08,31993,Certified Pre-Owned,1168784,true,TELE_730572,true,2025-08-17,2025-11-14,40000,synthetic
VEH_071_1,0PKKX000000TfjI4AS,Rekha Ahmed,rekha.ahmed@enterprise.com,MFT86755RX2FGELB3,Volkswagen,Virtus,2022,Luxury,TN41TM5459,TN,Brown,Petrol,Sedan,AMT,2015-11-25,117331,New,465378,true,,false,2023-12-02,2026-03-20,120000,synthetic
VEH_073_1,0PKKX000000TfjT4AS,Bhavna Thakur,bhavna.thakur@gmail.com,TRX80897XK6C3854X,Maruti Suzuki,Baleno,2021,Mid,MP31BL7551,MP,Brown,Diesel,Hatchback,Automatic,2020-11-23,71156,New,244958,true,TELE_963593,true,2027-11-15,2026-02-21,80000,synthetic
VEH_073_2,0PKKX000000TfjT4AS,Bhavna Thakur,bhavna.thakur@gmail.com,NDT91196JP4ERC4JP,MG,Hector,2016,Luxury,MH14EZ2150,MH,White,Diesel,MPV,CVT,2023-09-16,20008,Certified Pre-Owned,1593819,false,,false,2025-09-22,2026-04-26,30000,synthetic
VEH_074_1,0PKKX000000Tfjq4AC,Naveen Chawla,naveen.chawla@gmail.com,WZB32809G5UV5U1CJ,Maruti Suzuki,Brezza,2015,Top,GJ44DE6184,GJ,Beige,CNG,SUV,AMT,2024-06-01,12362,New,748105,true,TELE_267198,true,2025-05-26,2026-01-06,20000,synthetic
VEH_075_1,0PKKX000000TfjV4AS,Tanvi Agnihotri,tanvi.agnihotri@gmail.com,LSG10007L88D3NMAN,Kia,Seltos,2023,Top,WB13XE5905,WB,Brown,CNG,Hatchback,DCT,2017-10-29,112800,New,453969,true,TELE_736164,true,2026-11-21,2025-12-28,120000,synthetic
VEH_076_1,0PKKX000000Tfjl4AC,Siddharth Yadav,siddharth.yadav@yahoo.com,FNE27954ERKJZ5M47,MG,Hector,2018,Luxury,HR36SC4845,HR,Brown,Hybrid,Compact SUV,Manual,2020-05-21,50878,Certified Pre-Owned,202186,true,,false,2024-05-18,2025-12-30,60000,synthetic
VEH_076_2,0PKKX000000Tfjl4AC,Siddharth Yadav,siddharth.yadav@yahoo.com,DMK29697R3YMWAG34,Tata,Safari,2015,Top,GJ04JY5922,GJ,Black,CNG,Compact SUV,Manual,2018-09-19,62549,Used,653613,false,TELE_911697,true,2019-10-21,2026-01-15,70000,synthetic
VEH_076_3,0PKKX000000Tfjl4AC,Siddharth Yadav,siddharth.yadav@yahoo.com,UJK38978F1ZET07E1,Volkswagen,Vento,2017,Mid,RJ22EZ3074,RJ,Red,Diesel,MPV,CVT,2023-05-17,36531,Certified Pre-Owned,1454414,false,TELE_820903,true,2026-05-20,2026-04-14,40000,synthetic
VEH_077_1,0PKKX000000Tfjm4AC,Sonal Saxena,sonal.saxena@yahoo.com,NWT56716G67YY676F,Renault,Duster,2019,Base,WB49RK2027,WB,Brown,Diesel,Hatchback,Automatic,2019-02-03,66021,Certified Pre-Owned,486500,true,TELE_462781,true,2024-03-03,2025-11-30,70000,synthetic
